Id,path,class
image_0001_2328,train/pneumonia/image_0001_2328.jpg,PNEUMONIA
image_0001_2797,train/pneumonia/image_0001_2797.jpg,PNEUMONIA
image_0001_4,train/pneumonia/image_0001_4.jpg,PNEUMONIA
image_0001_3163,train/pneumonia/image_0001_3163.jpg,PNEUMONIA
image_0001_3128,train/pneumonia/image_0001_3128.jpg,PNEUMONIA
image_0001_1783,train/pneumonia/image_0001_1783.jpg,PNEUMONIA
image_0001_627,train/pneumonia/image_0001_627.jpg,PNEUMONIA
image_0001_2165,train/pneumonia/image_0001_2165.jpg,PNEUMONIA
image_0001_1530,train/pneumonia/image_0001_1530.jpg,PNEUMONIA
image_0001_2106,train/pneumonia/image_0001_2106.jpg,PNEUMONIA
image_0001_2462,train/pneumonia/image_0001_2462.jpg,PNEUMONIA
image_0001_2720,train/pneumonia/image_0001_2720.jpg,PNEUMONIA
image_0001_507,train/pneumonia/image_0001_507.jpg,PNEUMONIA
image_0001_2296,train/pneumonia/image_0001_2296.jpg,PNEUMONIA
image_0001_2018,train/pneumonia/image_0001_2018.jpg,PNEUMONIA
image_0001_2458,train/pneumonia/image_0001_2458.jpg,PNEUMONIA
image_0001_1250,train/pneumonia/image_0001_1250.jpg,PNEUMONIA
image_0001_1417,train/pneumonia/image_0001_1417.jpg,PNEUMONIA
image_0001_2025,train/pneumonia/image_0001_2025.jpg,PNEUMONIA
image_0001_820,train/pneumonia/image_0001_820.jpg,PNEUMONIA
image_0001_2189,train/pneumonia/image_0001_2189.jpg,PNEUMONIA
image_0001_472,train/pneumonia/image_0001_472.jpg,PNEUMONIA
image_0001_1916,train/pneumonia/image_0001_1916.jpg,PNEUMONIA
image_0001_809,train/pneumonia/image_0001_809.jpg,PNEUMONIA
image_0001_2746,train/pneumonia/image_0001_2746.jpg,PNEUMONIA
image_0001_3351,train/pneumonia/image_0001_3351.jpg,PNEUMONIA
image_0001_1000,train/pneumonia/image_0001_1000.jpg,PNEUMONIA
image_0001_1346,train/pneumonia/image_0001_1346.jpg,PNEUMONIA
image_0001_1850,train/pneumonia/image_0001_1850.jpg,PNEUMONIA
image_0001_1257,train/pneumonia/image_0001_1257.jpg,PNEUMONIA
image_0001_2193,train/pneumonia/image_0001_2193.jpg,PNEUMONIA
image_0001_1941,train/pneumonia/image_0001_1941.jpg,PNEUMONIA
image_0001_2798,train/pneumonia/image_0001_2798.jpg,PNEUMONIA
image_0001_966,train/pneumonia/image_0001_966.jpg,PNEUMONIA
